State,Total Offenses,"Murder and
nonnegligent
manslaughter",Rape,"Aggravated
assault","Simple
assault",Intimidation,"Human
Trafficking
Commercial
Sex Acts",Robbery,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Destruction/
damage/
vandalism",Crimes against Society
Total,"8,437",15,23,990,"1,745","2,283",1,157,145,326,41,42,"2,325",238
Alabama,9,0,0,0,1,7,0,0,0,0,0,0,1,0
Alaska,4,0,0,1,1,0,0,0,0,0,0,0,2,0
Arizona,328,0,2,52,62,111,0,8,6,5,0,0,81,1
Arkansas,8,0,0,1,1,2,0,1,1,0,0,0,2,0
California,"1,270",3,0,242,259,304,0,52,16,6,0,11,377,0
Colorado,136,0,1,22,30,39,0,3,0,3,0,1,36,0
Connecticut,122,0,0,3,20,41,0,2,1,10,2,0,39,2
Delaware,30,0,0,1,5,15,0,1,0,0,0,0,7,0
District of Columbia,207,0,0,30,72,40,0,9,0,1,0,0,55,0
Florida,166,0,0,37,35,22,0,0,2,2,1,1,66,0
Georgia,230,0,0,5,108,112,0,0,1,0,0,0,4,0
Idaho,61,0,0,8,22,6,0,0,1,5,0,0,10,7
Illinois,94,0,0,22,24,19,0,2,0,2,0,2,23,0
Indiana,62,3,0,5,13,14,0,0,1,4,0,1,12,8
Iowa,12,0,0,3,1,6,0,0,1,0,0,0,1,0
Kansas,83,0,0,4,20,12,0,0,2,8,1,2,28,5
Kentucky,432,0,5,9,55,102,0,6,20,71,11,0,67,68
Louisiana,30,0,0,8,14,4,0,0,1,0,0,0,1,1
Maine,40,0,0,3,10,19,0,0,0,0,0,0,8,0
Maryland,53,1,0,10,13,2,0,1,1,0,0,0,24,1
Massachusetts,486,0,0,45,89,160,0,1,7,8,2,0,167,0
Michigan,515,0,3,55,110,131,0,7,12,32,6,4,116,25
Minnesota,169,0,1,19,27,64,0,3,3,1,0,3,48,0
Mississippi,4,0,0,0,0,4,0,0,0,0,0,0,0,0
Missouri,133,0,0,45,32,23,0,2,2,2,0,2,24,1
Montana,18,0,0,5,7,0,0,0,0,1,0,0,5,0
Nebraska,46,0,0,1,5,3,0,0,3,2,0,0,27,4
Nevada,7,0,0,3,1,0,0,1,0,0,0,0,2,0
New Hampshire,16,0,0,3,7,2,0,0,0,0,0,0,4,0
New Jersey,502,0,0,6,6,310,0,4,0,1,0,2,173,0
New Mexico,14,0,0,5,7,0,0,1,0,0,0,0,1,0
New York,559,1,0,55,174,3,0,7,9,7,0,1,302,0
North Carolina,230,0,0,20,54,81,0,4,4,9,0,2,56,0
North Dakota,17,0,0,2,2,10,0,0,0,1,0,0,2,0
Ohio,449,0,3,33,66,163,0,8,12,45,3,2,82,24
Oklahoma,49,0,0,14,8,12,0,0,1,0,0,0,8,1
Oregon,169,0,2,20,25,37,0,1,2,5,0,0,69,3
Pennsylvania,93,0,0,2,20,45,0,1,0,1,0,3,19,1
Rhode Island,11,0,0,0,1,2,0,0,0,0,0,0,8,0
South Carolina,94,0,0,10,19,10,0,2,6,7,1,1,24,9
South Dakota,19,0,0,3,6,6,0,0,0,0,0,0,3,1
Tennessee,179,1,0,38,39,42,0,1,5,2,0,0,26,17
Texas,219,1,2,43,50,36,1,11,4,16,3,2,38,10
Utah,94,1,0,8,23,7,0,0,3,21,1,0,11,15
Vermont,36,0,1,1,5,3,0,0,0,4,0,0,18,3
Virginia,214,2,2,14,44,40,0,1,2,2,0,0,92,12
Washington,613,1,1,72,134,183,0,16,15,27,7,2,132,14
West Virginia,34,1,0,0,8,0,0,1,1,5,3,0,10,4
Wisconsin,48,0,0,2,9,9,0,0,0,10,0,0,12,1
Wyoming,23,0,0,0,1,20,0,0,0,0,0,0,2,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,